rank,country,category,product_opportunity_score,recommended_action,cluster,cluster_label,cluster_size,consumer_interest_score,trend_momentum_score,macro_potential_score,market_gap_score,review_opportunity_score_scaled,price_feasibility_score,trend_consistency_score,business_rationale
5,Australia,Gochujang sauce,64.98,Pilot / Test,0,Watchlist / Low-Signal Markets,9,0.7379463665416145,0.7090909090909091,0.4660262227209273,0.5,0.5120087336244543,0.941744196156856,0.8666411922048146,"Opportunity supported by strong consumer search interest, positive recent trend momentum, favorable price feasibility."
17,Viet Nam,Kimchi,56.72,Monitor,0,Watchlist / Low-Signal Markets,9,0.8824510212588577,0.7859393939393939,0.1410942570931766,0.5,0.0120087336244543,0.9733936179462656,1.0,"Opportunity supported by strong consumer search interest, positive recent trend momentum, favorable price feasibility."
21,Thailand,Kimchi,55.84,Monitor,0,Watchlist / Low-Signal Markets,9,0.6420730860080588,0.509090909090909,0.4660262227209273,0.5,0.2489082969432314,0.9984349187027216,0.992930836836072,Opportunity supported by favorable price feasibility.
25,Viet Nam,Frozen mandu,53.29,Monitor,0,Watchlist / Low-Signal Markets,9,0.7508684173961372,0.5980606060606061,0.1410942570931766,0.5,0.2106986899563319,0.9286149030519084,0.9315055406954528,"Opportunity supported by strong consumer search interest, favorable price feasibility."
31,Viet Nam,Ready meal,51.42,Monitor,0,Watchlist / Low-Signal Markets,9,0.7644852021675698,0.4143030303030303,0.1410942570931766,0.5,0.2554585152838426,0.9469611338144508,0.9223347344287351,"Opportunity supported by strong consumer search interest, favorable price feasibility."
34,Viet Nam,Gochujang sauce,46.87,Monitor,0,Watchlist / Low-Signal Markets,9,0.4318466027511461,0.5355151515151515,0.1410942570931766,0.5,0.3013100436681224,0.9347013303191029,0.9889186090943828,Opportunity supported by favorable price feasibility.
35,Philippines,Gochujang sauce,46.85,Monitor,0,Watchlist / Low-Signal Markets,9,0.3370848964846463,0.4324848484848484,0.1405619084470753,0.5,0.5305676855895198,0.935396922006782,0.9473633931983187,Opportunity supported by favorable price feasibility.
37,Philippines,Ready meal,45.45,Monitor,0,Watchlist / Low-Signal Markets,9,0.5680144504654717,0.2656969696969697,0.1405619084470753,0.5,0.3165938864628823,0.9222676289018346,0.9678066488345434,Opportunity supported by favorable price feasibility.
38,Philippines,Kimchi,42.44,Deprioritize,0,Watchlist / Low-Signal Markets,9,0.3626511046269278,0.398060606060606,0.1405619084470753,0.5,0.2729257641921396,0.9526997652378054,0.9568207871608712,Opportunity supported by favorable price feasibility.
18,Australia,Frozen mandu,56.47,Monitor,1,Watchlist / Low-Signal Markets,6,0.3801583993330553,0.7355151515151515,0.4660262227209273,0.5,0.5764192139737991,0.9674810886009912,0.4363775315246465,"Opportunity supported by positive recent trend momentum, favorable price feasibility."
26,Indonesia,Frozen mandu,53.11,Monitor,1,Watchlist / Low-Signal Markets,6,0.2507989440044462,1.0,0.3650674175102485,0.5,0.3777292576419215,0.960438222763238,0.4932174245319067,"Opportunity supported by positive recent trend momentum, favorable price feasibility."
30,Malaysia,Frozen mandu,51.51,Monitor,1,Watchlist / Low-Signal Markets,6,0.4243434764485201,0.4143030303030303,0.4681598530898638,0.5,0.5120087336244543,0.9409616555082166,0.611864730607566,Opportunity supported by favorable price feasibility.
36,Thailand,Frozen mandu,46.29,Monitor,1,Watchlist / Low-Signal Markets,6,0.3757121022648325,0.4303030303030303,0.4660262227209273,0.5,0.3296943231441047,0.9892183288409704,0.3034963698891859,Opportunity supported by favorable price feasibility.
39,Thailand,Korean ramen,36.49,Deprioritize,1,Watchlist / Low-Signal Markets,6,0.1110184799221897,0.4688484848484848,0.4660262227209273,0.5,0.1877729257641922,0.9595687331536388,-2.220446049250313e-16,Opportunity supported by favorable price feasibility.
40,Viet Nam,Korean ramen,27.23,Deprioritize,1,Watchlist / Low-Signal Markets,6,0.0,0.1779393939393939,0.1410942570931766,0.5,0.3296943231441047,1.0,0.0317157050057317,Opportunity supported by favorable price feasibility.
2,United States,Kimchi,70.64,Pilot / Test,2,Macro-Ready Commercial Markets,16,0.9484507433652908,0.3961212121212121,0.8122827718217399,0.5,0.5120087336244543,0.9840013911833754,0.9705769965609476,"Opportunity supported by strong consumer search interest, attractive macro-market readiness, favorable price feasibility."
3,United States,Korean ramen,68.72,Pilot / Test,2,Macro-Ready Commercial Markets,16,1.0,0.3355151515151515,0.8122827718217399,0.5,0.4257641921397379,0.9286149030519084,0.976690867405426,"Opportunity supported by strong consumer search interest, attractive macro-market readiness, favorable price feasibility."
4,United States,Ready meal,67.35,Pilot / Test,2,Macro-Ready Commercial Markets,16,0.9048909267750452,0.3132121212121212,0.8122827718217399,0.5,0.5218340611353711,0.8970524302234588,0.932508597630875,"Opportunity supported by strong consumer search interest, attractive macro-market readiness, favorable price feasibility."
6,Australia,Korean ramen,64.48,Pilot / Test,2,Macro-Ready Commercial Markets,16,0.8935667639294148,0.4363636363636363,0.4660262227209273,0.5,0.5218340611353711,0.9373097991479,0.9512800917080626,"Opportunity supported by strong consumer search interest, favorable price feasibility."
9,Singapore,Frozen mandu,59.97,Monitor,2,Macro-Ready Commercial Markets,16,0.5598165902459358,0.4809696969696969,0.5951248185902461,0.5,0.5534934497816595,0.939396574210938,0.927111196025984,Opportunity supported by favorable price feasibility.
10,United States,Gochujang sauce,59.64,Monitor,2,Macro-Ready Commercial Markets,16,0.7483673752952618,0.4991515151515151,0.8122827718217399,0.5,0.0818777292576418,0.9712198939222676,0.9135460450897976,"Opportunity supported by strong consumer search interest, attractive macro-market readiness, favorable price feasibility."
11,Thailand,Ready meal,59.37,Monitor,2,Macro-Ready Commercial Markets,16,0.9147561483951644,0.4213333333333333,0.4660262227209273,0.5,0.2489082969432314,0.8913137988001043,0.9573461979365686,"Opportunity supported by strong consumer search interest, favorable price feasibility."
12,Singapore,Korean ramen,59.31,Monitor,2,Macro-Ready Commercial Markets,16,0.8944004446297067,0.1374545454545454,0.5951248185902461,0.5,0.3777292576419215,0.972958873141466,0.9898739014138328,"Opportunity supported by strong consumer search interest, favorable price feasibility."
14,Malaysia,Ready meal,58.06,Monitor,2,Macro-Ready Commercial Markets,16,0.8740447408642488,0.1808484848484848,0.4681598530898638,0.5,0.4727074235807862,0.8524476132510217,0.9662781811234238,"Opportunity supported by strong consumer search interest, favorable price feasibility."
15,Australia,Kimchi,57.5,Monitor,2,Macro-Ready Commercial Markets,16,0.928998193691816,0.4606060606060606,0.4660262227209273,0.5,0.0567685589519646,0.935483870967742,0.9873901413832632,"Opportunity supported by strong consumer search interest, favorable price feasibility."
16,Singapore,Ready meal,56.8,Monitor,2,Macro-Ready Commercial Markets,16,0.8678616090037514,0.2545454545454545,0.5951248185902461,0.5,0.2227074235807862,0.8743587514129206,0.9659915934275888,"Opportunity supported by strong consumer search interest, favorable price feasibility."
19,Australia,Ready meal,56.08,Monitor,2,Macro-Ready Commercial Markets,16,0.869806863971099,0.280969696969697,0.4660262227209273,0.5,0.2631004366812224,0.9017476741152944,0.9102025219717234,"Opportunity supported by strong consumer search interest, favorable price feasibility."
23,United States,Frozen mandu,53.82,Monitor,2,Macro-Ready Commercial Markets,16,0.5266083090176462,0.287030303030303,0.8122827718217399,0.5,0.2565502183406112,0.9620033040605164,0.880588460068781,"Opportunity supported by attractive macro-market readiness, favorable price feasibility."
24,Malaysia,Kimchi,53.44,Monitor,2,Macro-Ready Commercial Markets,16,0.6067806030290398,0.3112727272727272,0.4681598530898638,0.5,0.3919213973799125,0.9264411790279106,0.9708635842567824,Opportunity supported by favorable price feasibility.
27,Indonesia,Ready meal,52.72,Monitor,2,Macro-Ready Commercial Markets,16,0.7067528136723634,0.1223030303030303,0.3650674175102485,0.5,0.5207423580786026,0.8851404225719502,0.9376194115399312,"Opportunity supported by strong consumer search interest, favorable price feasibility."
33,Singapore,Kimchi,47.19,Monitor,2,Macro-Ready Commercial Markets,16,0.4864526886202583,0.4082424242424242,0.5951248185902461,0.5,0.0,0.9222676289018346,0.9814673290026747,Opportunity supported by favorable price feasibility.
1,Malaysia,Korean ramen,70.95,Pilot / Test,3,Review-Driven Product Adaptation Markets,9,0.9373350006947336,0.2162424242424242,0.4681598530898638,0.5,1.0,0.9796539431353796,0.9798433320596104,"Opportunity supported by strong consumer search interest, meaningful review-based opportunity signals, favorable price feasibility."
7,Malaysia,Gochujang sauce,62.4,Pilot / Test,3,Review-Driven Product Adaptation Markets,9,0.5256356815339724,0.288969696969697,0.4681598530898638,0.5,0.9978165938864634,0.954177897574124,0.9749713412304164,"Opportunity supported by meaningful review-based opportunity signals, favorable price feasibility."
8,Indonesia,Kimchi,60.96,Pilot / Test,3,Review-Driven Product Adaptation Markets,9,0.7209948589690148,0.2203636363636363,0.3650674175102485,0.5,0.8165938864628819,0.9600904269193984,0.9718188765762324,"Opportunity supported by strong consumer search interest, meaningful review-based opportunity signals, favorable price feasibility."
13,Thailand,Gochujang sauce,58.45,Monitor,3,Review-Driven Product Adaptation Markets,9,0.3672363484785326,0.4930909090909091,0.4660262227209273,0.5,0.8242358078602621,0.9804364837840188,0.7974780282766527,"Opportunity supported by meaningful review-based opportunity signals, favorable price feasibility."
20,Singapore,Gochujang sauce,55.88,Monitor,3,Review-Driven Product Adaptation Markets,9,0.4248992635820479,0.4424242424242424,0.5951248185902461,0.5,0.5120087336244543,0.9560907747152422,0.9758311043179212,Opportunity supported by favorable price feasibility.
22,Indonesia,Korean ramen,54.11,Monitor,3,Review-Driven Product Adaptation Markets,9,0.8475753786299846,0.0,0.3650674175102485,0.5,0.4868995633187771,0.971828536648987,0.9316010699273978,"Opportunity supported by strong consumer search interest, favorable price feasibility."
28,Philippines,Korean ramen,51.87,Monitor,3,Review-Driven Product Adaptation Markets,9,0.570237598999583,0.3112727272727272,0.1405619084470753,0.5,0.6211790393013099,0.9262672811059908,0.9823270920901797,Opportunity supported by favorable price feasibility.
29,Indonesia,Gochujang sauce,51.6,Monitor,3,Review-Driven Product Adaptation Markets,9,0.6024732527441989,0.0385454545454545,0.3650674175102485,0.5,0.6211790393013099,0.9652204156160332,0.9548146732900268,Opportunity supported by favorable price feasibility.
32,Philippines,Frozen mandu,47.95,Monitor,3,Review-Driven Product Adaptation Markets,9,0.4770043073502847,0.1878787878787878,0.1405619084470753,0.5,0.7325327510917035,0.9142683244935224,0.6706152082537256,"Opportunity supported by meaningful review-based opportunity signals, favorable price feasibility."
