country,category,average_interest,recent_12m_interest,previous_12m_interest,momentum_change,momentum_pct,trend_volatility,peak_interest,zero_share,consumer_interest_score,trend_momentum_score,trend_consistency_score,population,gdp_per_capita_usd,urban_population_pct,internet_users_pct,household_consumption_usd,inflation_pct,macro_potential_score,competitor_count,korean_brand_count,avg_price_per_100g,median_price_usd,avg_rating,total_review_count,halal_claim_share,korean_brand_presence_score,competitive_intensity_score,market_gap_score,price_feasibility_score,review_validation_score,rating_score,review_count,avg_review_rating,negative_theme_share,positive_theme_share,halal_concern_share,spiciness_issue_share,price_issue_share,convenience_driver_share,authenticity_driver_share,health_concern_share,review_opportunity_score,review_opportunity_score_scaled,product_opportunity_score,recommended_action,business_rationale,rank
Malaysia,Korean ramen,70.03,66.92,73.67,-6.75,-0.0916,13.33,100,0.0,0.9373350006947337,0.21624242424242424,0.9798433320596103,35557673.0,11874.427368424476,76.9170296648992,98.0206059,256552030754.11652,1.834100204499002,0.4681598530898638,8,5,1.06,2.305,3.9,1089,0.75,0.5714285714285714,0.5,0.5,0.9796539431353796,0.22968414596749465,0.0,66,3.48,0.7576,0.2424,0.2273,0.2121,0.1061,0.0909,0.1515,0.0455,34.47,1.0,70.95,Pilot / Test,"Opportunity supported by strong consumer search interest, meaningful review-based opportunity signals, favorable price feasibility.",1
United States,Kimchi,70.83,85.75,85.08,0.67,0.0078,14.3,100,0.0,0.9484507433652909,0.3961212121212121,0.9705769965609476,340110988.0,84534.04078415484,80.1247798047184,94.69380188,17511745000000.0,2.949525204852073,0.8122827718217399,8,3,0.9975,6.395,4.0375,814,0.25,0.2857142857142857,0.5,0.5,0.9840013911833754,0.1453541858325667,0.22916666666666607,54,3.5,0.6852,0.3148,0.037,0.2037,0.1667,0.0556,0.2593,0.0926,30.0,0.5120087336244543,70.64,Pilot / Test,"Opportunity supported by strong consumer search interest, attractive macro-market readiness, favorable price feasibility.",2
United States,Korean ramen,74.54,84.0,85.83,-1.83,-0.0214,13.66,100,0.0,0.9999999999999999,0.3355151515151515,0.9766908674054261,340110988.0,84534.04078415484,80.1247798047184,94.69380188,17511745000000.0,2.949525204852073,0.8122827718217399,8,3,1.79375,3.785,4.3,846,0.0,0.2857142857142857,0.5,0.5,0.9286149030519085,0.15516712664826743,0.666666666666667,57,3.72,0.6491,0.3509,0.0877,0.1228,0.1754,0.1053,0.2456,0.0351,29.21,0.42576419213973793,68.72,Pilot / Test,"Opportunity supported by strong consumer search interest, attractive macro-market readiness, favorable price feasibility.",3
United States,Ready meal,67.69500000000001,82.41499999999999,85.17,-2.75,-0.0313,18.285,100,0.0,0.9048909267750451,0.3132121212121212,0.932508597630875,340110988.0,84534.04078415484,80.1247798047184,94.69380188,17511745000000.0,2.949525204852073,0.8122827718217399,8,5,2.2475,8.08,4.1625,527,0.125,0.5714285714285714,0.5,0.5,0.8970524302234588,0.057344372891751,0.4375,53,3.55,0.6038,0.3962,0.1887,0.0566,0.2264,0.2075,0.1887,0.0189,30.09,0.5218340611353711,67.35,Pilot / Test,"Opportunity supported by strong consumer search interest, attractive macro-market readiness, favorable price feasibility.",4
Australia,Gochujang sauce,55.68,92.58,79.0,13.58,0.1719,25.18,100,0.0,0.7379463665416145,0.7090909090909091,0.8666411922048146,27196812.0,64603.985630846415,87.6021469990446,96.13140106,903687877051.534,3.16656665428797,0.4660262227209273,8,2,1.605,5.99,3.925,979,0.125,0.14285714285714285,0.5,0.5,0.9417441961568559,0.1959521619135235,0.04166666666666696,60,3.45,0.6667,0.3333,0.0833,0.1667,0.1667,0.0667,0.2667,0.0833,30.0,0.5120087336244543,64.98,Pilot / Test,"Opportunity supported by strong consumer search interest, positive recent trend momentum, favorable price feasibility.",5
Australia,Korean ramen,66.88,82.0,79.67,2.33,0.0293,16.32,100,0.0,0.8935667639294148,0.43636363636363634,0.9512800917080626,27196812.0,64603.985630846415,87.6021469990446,96.13140106,903687877051.534,3.16656665428797,0.4660262227209273,8,3,1.66875,4.02,4.3625,768,0.125,0.2857142857142857,0.5,0.5,0.9373097991479001,0.13124808340999694,0.770833333333333,53,3.53,0.6415,0.3585,0.1509,0.1321,0.1509,0.2264,0.1321,0.0189,30.09,0.5218340611353711,64.48,Pilot / Test,"Opportunity supported by strong consumer search interest, favorable price feasibility.",6
Malaysia,Gochujang sauce,40.4,35.92,39.67,-3.75,-0.0945,13.84,100,0.0,0.5256356815339724,0.288969696969697,0.9749713412304165,35557673.0,11874.427368424476,76.9170296648992,98.0206059,256552030754.11652,1.834100204499002,0.4681598530898638,8,8,1.42625,6.619999999999999,4.3875,1315,0.375,1.0,0.5,0.5,0.954177897574124,0.2989880404783809,0.8125000000000009,55,3.27,0.8,0.2,0.1636,0.2182,0.1273,0.0545,0.1455,0.0545,34.45,0.9978165938864634,62.4,Pilot / Test,"Opportunity supported by meaningful review-based opportunity signals, favorable price feasibility.",7
Indonesia,Kimchi,54.46,40.75,47.33,-6.58,-0.1391,14.17,100,0.0,0.7209948589690148,0.22036363636363634,0.9718188765762323,283487931.0,4925.430487518614,58.7509635387997,72.78075544,773552837989.2095,2.181512736151888,0.3650674175102485,8,3,1.34125,7.625,4.1875,977,0.5,0.2857142857142857,0.5,0.5,0.9600904269193983,0.19533885311254218,0.47916666666666696,43,3.21,0.7674,0.2326,0.1628,0.0465,0.2326,0.0465,0.186,0.0698,32.79,0.8165938864628819,60.96,Pilot / Test,"Opportunity supported by strong consumer search interest, meaningful review-based opportunity signals, favorable price feasibility.",8
Singapore,Frozen mandu,42.86,46.67,42.5,4.17,0.098,17.46,100,0.0139,0.5598165902459358,0.48096969696969694,0.9271111960259839,6036860.0,90674.066632628,100.0,94.37757178,172365448241.43692,2.389511235950172,0.5951248185902461,8,2,1.63875,9.295000000000002,4.3625,1225,0.25,0.14285714285714285,0.5,0.5,0.9393965742109381,0.2713891444342227,0.770833333333333,65,3.52,0.6462,0.3538,0.1538,0.0615,0.2308,0.1231,0.2308,0.0154,30.38,0.5534934497816595,59.97,Monitor,Opportunity supported by favorable price feasibility.,9
United States,Gochujang sauce,56.43,83.67,78.75,4.92,0.0624,20.27,100,0.0,0.7483673752952618,0.4991515151515151,0.9135460450897975,340110988.0,84534.04078415484,80.1247798047184,94.69380188,17511745000000.0,2.949525204852073,0.8122827718217399,8,1,1.18125,5.75,4.35,826,0.25,0.0,0.5,0.5,0.9712198939222676,0.1490340386384545,0.75,52,3.58,0.5769,0.4231,0.0385,0.1346,0.1154,0.1538,0.2692,0.0769,26.06,0.08187772925764181,59.64,Monitor,"Opportunity supported by strong consumer search interest, attractive macro-market readiness, favorable price feasibility.",10
Thailand,Ready meal,68.405,78.25,76.53999999999999,1.71,0.02745,15.684999999999999,100,0.0,0.9147561483951645,0.42133333333333334,0.9573461979365686,,,,,,,0.4660262227209273,8,3,2.33,7.92,4.5,593,0.0,0.2857142857142857,0.5,0.5,0.8913137988001043,0.0775835633241337,1.0,58,3.81,0.5517,0.4483,0.1724,0.1207,0.0862,0.1379,0.3103,0.0517,27.59,0.24890829694323147,59.37,Monitor,"Opportunity supported by strong consumer search interest, favorable price feasibility.",11
Singapore,Korean ramen,66.94,59.08,69.08,-10.0,-0.1448,12.28,100,0.0,0.8944004446297067,0.13745454545454544,0.9898739014138327,6036860.0,90674.066632628,100.0,94.37757178,172365448241.43692,2.389511235950172,0.5951248185902461,8,5,1.15625,3.065,4.15,734,0.125,0.5714285714285714,0.5,0.5,0.972958873141466,0.12082183379331494,0.41666666666666785,53,3.42,0.6038,0.3962,0.0943,0.1698,0.1509,0.0943,0.3019,0.0755,28.77,0.37772925764192156,59.31,Monitor,"Opportunity supported by strong consumer search interest, favorable price feasibility.",12
