country,category,review_count,avg_review_rating,negative_theme_share,positive_theme_share,halal_concern_share,spiciness_issue_share,price_issue_share,convenience_driver_share,authenticity_driver_share,health_concern_share,review_opportunity_score
Australia,Frozen mandu,59,3.59,0.661,0.339,0.2034,0.0678,0.1525,0.1695,0.1695,0.0,30.59
Australia,Gochujang sauce,60,3.45,0.6667,0.3333,0.0833,0.1667,0.1667,0.0667,0.2667,0.0833,30.0
Australia,Kimchi,54,3.5,0.5926,0.4074,0.0741,0.0556,0.1111,0.0556,0.3519,0.1852,25.83
Australia,Korean ramen,53,3.53,0.6415,0.3585,0.1509,0.1321,0.1509,0.2264,0.1321,0.0189,30.09
Australia,Ready meal,46,3.78,0.5652,0.4348,0.1739,0.0435,0.1522,0.2391,0.1957,0.0217,27.72
Australia,Seaweed snack,57,3.63,0.5614,0.4386,0.1228,0.0351,0.193,0.1754,0.2632,0.0702,27.11
Indonesia,Frozen mandu,53,3.6,0.6038,0.3962,0.2075,0.0755,0.0943,0.1509,0.2453,0.0189,28.77
Indonesia,Gochujang sauce,55,3.35,0.7273,0.2727,0.1455,0.1636,0.0727,0.0545,0.2182,0.0909,31.0
Indonesia,Kimchi,43,3.21,0.7674,0.2326,0.1628,0.0465,0.2326,0.0465,0.186,0.0698,32.79
Indonesia,Korean ramen,64,3.66,0.6406,0.3594,0.1719,0.125,0.1094,0.1094,0.25,0.0469,29.77
Indonesia,Ready meal,60,3.75,0.6167,0.3833,0.2,0.0833,0.1667,0.1833,0.2,0.0167,30.08
Indonesia,Seaweed snack,60,3.72,0.6167,0.3833,0.15,0.1,0.05,0.1,0.2833,0.1333,27.58
Malaysia,Frozen mandu,50,3.6,0.68,0.32,0.2,0.04,0.12,0.12,0.2,0.0,30.0
Malaysia,Gochujang sauce,55,3.27,0.8,0.2,0.1636,0.2182,0.1273,0.0545,0.1455,0.0545,34.45
Malaysia,Kimchi,41,3.17,0.7317,0.2683,0.122,0.0976,0.0244,0.0,0.2683,0.1463,28.9
Malaysia,Korean ramen,66,3.48,0.7576,0.2424,0.2273,0.2121,0.1061,0.0909,0.1515,0.0455,34.47
Malaysia,Ready meal,56,3.89,0.6071,0.3929,0.2143,0.0714,0.1429,0.2143,0.1786,0.0179,29.64
Malaysia,Seaweed snack,54,3.63,0.5741,0.4259,0.1667,0.0741,0.0926,0.1667,0.2593,0.037,27.31
Philippines,Frozen mandu,52,3.46,0.6923,0.3077,0.1923,0.0769,0.2115,0.0769,0.2308,0.0192,32.02
Philippines,Gochujang sauce,58,3.59,0.6724,0.3276,0.1034,0.2241,0.0862,0.069,0.2586,0.069,30.17
Philippines,Kimchi,64,3.7,0.625,0.375,0.0781,0.125,0.125,0.125,0.25,0.0938,27.81
Philippines,Korean ramen,65,3.54,0.6462,0.3538,0.1385,0.2462,0.1077,0.1231,0.2308,0.0154,31.0
Philippines,Ready meal,56,3.59,0.6071,0.3929,0.1429,0.0714,0.1429,0.2143,0.1786,0.0714,28.21
Philippines,Seaweed snack,67,3.73,0.6119,0.3881,0.0149,0.0149,0.1791,0.1045,0.2836,0.1194,25.45
Singapore,Frozen mandu,65,3.52,0.6462,0.3538,0.1538,0.0615,0.2308,0.1231,0.2308,0.0154,30.38
Singapore,Gochujang sauce,65,3.58,0.6923,0.3077,0.0769,0.2615,0.0462,0.0923,0.2154,0.1538,30.0
Singapore,Kimchi,48,3.71,0.5625,0.4375,0.0,0.1042,0.1667,0.0625,0.375,0.125,25.31
Singapore,Korean ramen,53,3.42,0.6038,0.3962,0.0943,0.1698,0.1509,0.0943,0.3019,0.0755,28.77
Singapore,Ready meal,51,3.51,0.6078,0.3922,0.098,0.098,0.1176,0.1765,0.2157,0.0196,27.35
Singapore,Seaweed snack,45,3.58,0.6444,0.3556,0.0889,0.0,0.2,0.1111,0.2444,0.0444,27.67
