country,geo,keyword,average_interest,recent_12m_interest,previous_12m_interest,momentum_change,momentum_pct,trend_volatility,peak_interest,zero_share,trend_stage
Australia,AU,bibigo,29.93,76.67,62.0,14.67,0.2366,31.33,100,0.3889,Minor
Australia,AU,gochujang,55.68,92.58,79.0,13.58,0.1719,25.18,100,0.0,Mega
Australia,AU,kimchi,69.43,82.67,79.33,3.33,0.042,12.54,100,0.0,Major
Australia,AU,korean food,73.24,91.33,92.42,-1.08,-0.0117,17.77,100,0.0,Minor
Australia,AU,korean ramen,66.88,82.0,79.67,2.33,0.0293,16.32,100,0.0,Major
Australia,AU,tteokbokki,57.1,80.33,87.42,-7.08,-0.081,23.47,100,0.0,Minor
Indonesia,ID,bibigo,20.62,50.33,24.75,25.58,1.0337,22.6,100,0.4167,Early
Indonesia,ID,gochujang,45.93,29.92,44.0,-14.08,-0.3201,15.95,100,0.0,Fad
Indonesia,ID,kimchi,54.46,40.75,47.33,-6.58,-0.1391,14.17,100,0.0,Minor
Indonesia,ID,korean food,69.81,59.0,78.0,-19.0,-0.2436,13.4,100,0.0,Fad
Indonesia,ID,korean ramen,63.57,63.17,78.83,-15.67,-0.1987,16.99,100,0.0139,Minor
Indonesia,ID,tteokbokki,37.06,14.75,17.0,-2.25,-0.1324,22.1,100,0.0,Minor
Malaysia,MY,bibigo,33.11,34.25,32.83,1.42,0.0431,24.07,100,0.2778,Minor
Malaysia,MY,gochujang,40.4,35.92,39.67,-3.75,-0.0945,13.84,100,0.0,Minor
Malaysia,MY,kimchi,46.24,38.83,41.67,-2.83,-0.068,14.27,100,0.0,Minor
Malaysia,MY,korean food,72.17,70.58,79.5,-8.92,-0.1122,15.72,100,0.0,Minor
Malaysia,MY,korean ramen,70.03,66.92,73.67,-6.75,-0.0916,13.33,100,0.0,Minor
Malaysia,MY,tteokbokki,58.78,52.67,60.17,-7.5,-0.1247,13.78,100,0.0,Minor
Philippines,PH,bibigo,36.9,30.67,38.58,-7.92,-0.2052,24.87,100,0.2083,Fad
Philippines,PH,gochujang,26.83,25.08,22.92,2.17,0.0945,16.73,100,0.0,Minor
Philippines,PH,kimchi,28.67,23.58,22.83,0.75,0.0328,15.74,100,0.0,Minor
Philippines,PH,korean food,56.28,40.0,46.0,-6.0,-0.1304,13.05,100,0.0,Minor
Philippines,PH,korean ramen,43.61,38.17,41.0,-2.83,-0.0691,13.07,100,0.0,Minor
Philippines,PH,tteokbokki,30.62,22.33,25.75,-3.42,-0.1327,16.13,100,0.0,Minor
Singapore,SG,bibigo,42.86,46.67,42.5,4.17,0.098,17.46,100,0.0139,Major
Singapore,SG,gochujang,33.15,36.17,33.58,2.58,0.0769,13.75,100,0.0,Minor
Singapore,SG,kimchi,37.58,37.42,36.25,1.17,0.0322,13.16,100,0.0,Minor
Singapore,SG,korean food,71.21,73.25,79.17,-5.92,-0.0747,14.65,100,0.0,Minor
Singapore,SG,korean ramen,66.94,59.08,69.08,-10.0,-0.1448,12.28,100,0.0,Minor
Singapore,SG,tteokbokki,58.85,58.17,62.58,-4.42,-0.0706,14.91,100,0.0,Minor
Thailand,TH,bibigo,29.61,43.75,41.67,2.08,0.05,32.74,100,0.5139,Minor
Thailand,TH,gochujang,29.0,36.83,32.17,4.67,0.1451,17.14,100,0.1528,Minor
Thailand,TH,kimchi,48.78,52.75,47.42,5.33,0.1125,11.96,100,0.0,Major
Thailand,TH,korean food,74.62,79.0,82.33,-3.33,-0.0405,12.19,100,0.0,Minor
Thailand,TH,korean ramen,10.56,16.0,12.33,3.67,0.2973,28.4,100,0.875,Minor
Thailand,TH,tteokbokki,62.19,77.5,70.75,6.75,0.0954,19.18,100,0.0,Major
United States,US,bibigo,40.47,61.92,65.75,-3.83,-0.0583,23.72,100,0.0,Minor
United States,US,gochujang,56.43,83.67,78.75,4.92,0.0624,20.27,100,0.0,Major
United States,US,kimchi,70.83,85.75,85.08,0.67,0.0078,14.3,100,0.0,Major
United States,US,korean food,74.54,83.75,88.67,-4.92,-0.0555,14.81,100,0.0,Minor
United States,US,korean ramen,74.54,84.0,85.83,-1.83,-0.0214,13.66,100,0.0,Minor
United States,US,tteokbokki,60.85,81.08,81.67,-0.58,-0.0071,21.76,100,0.0,Minor
Viet Nam,VN,bibigo,56.61,73.5,64.5,9.0,0.1395,18.39,100,0.0,Major
Viet Nam,VN,gochujang,33.65,41.0,34.58,6.42,0.1855,12.38,100,0.0,Minor
Viet Nam,VN,kimchi,66.08,78.08,61.33,16.75,0.2731,11.22,100,0.0,Mega
Viet Nam,VN,korean food,64.94,92.67,84.0,8.67,0.1032,21.74,100,0.0,Major
Viet Nam,VN,korean ramen,2.57,0.0,8.33,-8.33,-1.0,15.36,100,0.9722,Minor
Viet Nam,VN,tteokbokki,50.24,60.17,66.0,-5.83,-0.0884,16.96,100,0.0,Minor
