date,country,geo,keyword,search_interest,is_partial
2019-01-01,Indonesia,ID,korean food,63,False
2019-02-01,Indonesia,ID,korean food,57,False
2019-03-01,Indonesia,ID,korean food,64,False
2019-04-01,Indonesia,ID,korean food,57,False
2019-05-01,Indonesia,ID,korean food,64,False
2019-06-01,Indonesia,ID,korean food,70,False
2019-07-01,Indonesia,ID,korean food,65,False
2019-08-01,Indonesia,ID,korean food,56,False
2019-09-01,Indonesia,ID,korean food,55,False
2019-10-01,Indonesia,ID,korean food,56,False
2019-11-01,Indonesia,ID,korean food,59,False
2019-12-01,Indonesia,ID,korean food,65,False
2020-01-01,Indonesia,ID,korean food,60,False
2020-02-01,Indonesia,ID,korean food,63,False
2020-03-01,Indonesia,ID,korean food,47,False
2020-04-01,Indonesia,ID,korean food,45,False
2020-05-01,Indonesia,ID,korean food,60,False
2020-06-01,Indonesia,ID,korean food,64,False
2020-07-01,Indonesia,ID,korean food,64,False
2020-08-01,Indonesia,ID,korean food,61,False
2020-09-01,Indonesia,ID,korean food,53,False
2020-10-01,Indonesia,ID,korean food,55,False
2020-11-01,Indonesia,ID,korean food,60,False
2020-12-01,Indonesia,ID,korean food,64,False
2021-01-01,Indonesia,ID,korean food,82,False
2021-02-01,Indonesia,ID,korean food,69,False
2021-03-01,Indonesia,ID,korean food,77,False
2021-04-01,Indonesia,ID,korean food,83,False
2021-05-01,Indonesia,ID,korean food,96,False
2021-06-01,Indonesia,ID,korean food,81,False
2021-07-01,Indonesia,ID,korean food,63,False
2021-08-01,Indonesia,ID,korean food,60,False
2021-09-01,Indonesia,ID,korean food,65,False
2021-10-01,Indonesia,ID,korean food,82,False
2021-11-01,Indonesia,ID,korean food,76,False
2021-12-01,Indonesia,ID,korean food,83,False
2022-01-01,Indonesia,ID,korean food,83,False
2022-02-01,Indonesia,ID,korean food,74,False
2022-03-01,Indonesia,ID,korean food,82,False
2022-04-01,Indonesia,ID,korean food,94,False
2022-05-01,Indonesia,ID,korean food,88,False
2022-06-01,Indonesia,ID,korean food,89,False
2022-07-01,Indonesia,ID,korean food,85,False
2022-08-01,Indonesia,ID,korean food,83,False
2022-09-01,Indonesia,ID,korean food,84,False
2022-10-01,Indonesia,ID,korean food,87,False
2022-11-01,Indonesia,ID,korean food,89,False
2022-12-01,Indonesia,ID,korean food,100,False
2023-01-01,Indonesia,ID,korean food,96,False
2023-02-01,Indonesia,ID,korean food,83,False
2023-03-01,Indonesia,ID,korean food,83,False
2023-04-01,Indonesia,ID,korean food,98,False
2023-05-01,Indonesia,ID,korean food,78,False
2023-06-01,Indonesia,ID,korean food,81,False
2023-07-01,Indonesia,ID,korean food,77,False
2023-08-01,Indonesia,ID,korean food,69,False
2023-09-01,Indonesia,ID,korean food,66,False
2023-10-01,Indonesia,ID,korean food,63,False
2023-11-01,Indonesia,ID,korean food,67,False
2023-12-01,Indonesia,ID,korean food,75,False
2024-01-01,Indonesia,ID,korean food,72,False
2024-02-01,Indonesia,ID,korean food,58,False
2024-03-01,Indonesia,ID,korean food,61,False
2024-04-01,Indonesia,ID,korean food,63,False
2024-05-01,Indonesia,ID,korean food,59,False
2024-06-01,Indonesia,ID,korean food,58,False
2024-07-01,Indonesia,ID,korean food,60,False
2024-08-01,Indonesia,ID,korean food,53,False
2024-09-01,Indonesia,ID,korean food,56,False
2024-10-01,Indonesia,ID,korean food,52,False
2024-11-01,Indonesia,ID,korean food,55,False
2024-12-01,Indonesia,ID,korean food,61,False
2019-01-01,Indonesia,ID,kimchi,86,False
2019-02-01,Indonesia,ID,kimchi,67,False
2019-03-01,Indonesia,ID,kimchi,59,False
2019-04-01,Indonesia,ID,kimchi,52,False
2019-05-01,Indonesia,ID,kimchi,58,False
2019-06-01,Indonesia,ID,kimchi,58,False
2019-07-01,Indonesia,ID,kimchi,53,False
2019-08-01,Indonesia,ID,kimchi,51,False
2019-09-01,Indonesia,ID,kimchi,58,False
2019-10-01,Indonesia,ID,kimchi,53,False
2019-11-01,Indonesia,ID,kimchi,54,False
2019-12-01,Indonesia,ID,kimchi,56,False
2020-01-01,Indonesia,ID,kimchi,54,False
2020-02-01,Indonesia,ID,kimchi,53,False
2020-03-01,Indonesia,ID,kimchi,50,False
2020-04-01,Indonesia,ID,kimchi,80,False
2020-05-01,Indonesia,ID,kimchi,98,False
2020-06-01,Indonesia,ID,kimchi,100,False
