country,category,scenario,estimated_units,estimated_price_usd,cogs_pct,logistics_pct,marketing_pct,trade_promo_pct,distributor_margin_pct,gross_revenue_usd,net_revenue_usd,contribution_profit_usd,contribution_margin_pct,data_type
Indonesia,Korean ramen,Conservative,96139,2.45,0.433,0.119,0.085,0.085,0.148,235540.55,215519.6,46336.71,0.215,synthetic_business_assumption
Indonesia,Korean ramen,Base,107482,2.51,0.466,0.089,0.117,0.075,0.127,269779.82,249546.33,50158.81,0.201,synthetic_business_assumption
Indonesia,Korean ramen,Aggressive,170059,2.66,0.39,0.098,0.188,0.088,0.137,452356.94,412549.53,77146.76,0.187,synthetic_business_assumption
Indonesia,Kimchi,Conservative,34515,7.8,0.51,0.071,0.098,0.077,0.112,269217.0,248487.29,51933.84,0.209,synthetic_business_assumption
Indonesia,Kimchi,Base,38259,7.72,0.385,0.092,0.133,0.065,0.152,295359.48,276161.11,65726.35,0.238,synthetic_business_assumption
Indonesia,Kimchi,Aggressive,68976,7.12,0.438,0.074,0.166,0.059,0.134,491109.12,462133.68,86881.13,0.188,synthetic_business_assumption
Indonesia,Gochujang sauce,Conservative,51164,5.26,0.501,0.062,0.13,0.058,0.132,269122.64,253513.53,44364.87,0.175,synthetic_business_assumption
Indonesia,Gochujang sauce,Base,54001,6.1,0.452,0.068,0.126,0.079,0.133,329406.1,303383.02,67047.65,0.221,synthetic_business_assumption
Indonesia,Gochujang sauce,Aggressive,93373,5.51,0.421,0.061,0.151,0.078,0.11,514485.23,474355.38,121909.33,0.257,synthetic_business_assumption
Indonesia,Frozen mandu,Conservative,36018,8.56,0.518,0.078,0.109,0.104,0.14,308314.08,276249.42,42818.66,0.155,synthetic_business_assumption
Indonesia,Frozen mandu,Base,51233,8.95,0.502,0.061,0.115,0.066,0.111,458535.35,428272.02,90365.4,0.211,synthetic_business_assumption
Indonesia,Frozen mandu,Aggressive,71754,9.24,0.393,0.091,0.15,0.085,0.139,663006.96,606651.37,137709.86,0.227,synthetic_business_assumption
Indonesia,Ready meal,Conservative,50059,7.39,0.447,0.094,0.124,0.069,0.086,369936.01,344410.43,85758.2,0.249,synthetic_business_assumption
Indonesia,Ready meal,Base,75817,6.63,0.506,0.119,0.112,0.079,0.113,502666.71,462956.04,69443.41,0.15,synthetic_business_assumption
Indonesia,Ready meal,Aggressive,87868,7.12,0.486,0.089,0.1,0.072,0.103,625620.16,580575.51,128887.76,0.222,synthetic_business_assumption
Indonesia,Seaweed snack,Conservative,75899,2.58,0.493,0.1,0.118,0.08,0.134,195819.42,180153.87,27923.85,0.155,synthetic_business_assumption
Indonesia,Seaweed snack,Base,93925,3.06,0.443,0.088,0.131,0.058,0.115,287410.5,270740.69,60375.17,0.223,synthetic_business_assumption
Indonesia,Seaweed snack,Aggressive,144436,2.55,0.424,0.079,0.157,0.057,0.13,368311.8,347318.03,72936.79,0.21,synthetic_business_assumption
Malaysia,Korean ramen,Conservative,75421,2.31,0.482,0.079,0.134,0.053,0.116,174222.51,164988.72,31182.87,0.189,synthetic_business_assumption
Malaysia,Korean ramen,Base,101430,2.47,0.52,0.113,0.084,0.089,0.132,250532.1,228234.74,34463.45,0.151,synthetic_business_assumption
Malaysia,Korean ramen,Aggressive,143177,2.34,0.507,0.118,0.191,0.105,0.133,335034.18,299855.59,15292.64,0.051,synthetic_business_assumption
Malaysia,Kimchi,Conservative,31667,6.6,0.391,0.102,0.121,0.108,0.153,209002.2,186429.96,43438.18,0.233,synthetic_business_assumption
