product_id,country,platform,category,brand_type,anonymous_brand,product_name,pack_size_g,price_local,currency,price_usd,price_per_100g,rating,review_count,halal_claim,product_format,positioning,data_type
P0001,Indonesia,Shopee ID,Korean ramen,Korean Brand,Korean Brand E,Spicy Ramen - single pack,182,59365.0,IDR,3.83,2.1,4.4,51,True,single pack,mainstream,synthetic_anonymized
P0002,Indonesia,Shopee ID,Korean ramen,Local Brand,Local Brand G,Mild Ramen - single pack,201,20305.0,IDR,1.31,0.65,4.2,135,False,single pack,value,synthetic_anonymized
P0003,Indonesia,Shopee ID,Korean ramen,Local Brand,Local Brand T,Cheese Ramen - cup noodle,388,68200.0,IDR,4.4,1.13,4.1,146,True,cup noodle,mainstream,synthetic_anonymized
P0004,Indonesia,Shopee ID,Korean ramen,Local Brand,Local Brand F,Cheese Ramen - single pack,356,50220.0,IDR,3.24,0.91,4.3,61,True,single pack,mainstream,synthetic_anonymized
P0005,Indonesia,Tokopedia,Korean ramen,Korean Brand,Korean Brand D,Spicy Ramen - multi-pack,555,54560.0,IDR,3.52,0.63,4.1,27,True,multi-pack,value,synthetic_anonymized
P0006,Indonesia,Tokopedia,Korean ramen,Korean Brand,Korean Brand J,Spicy Ramen - cup noodle,323,57195.0,IDR,3.69,1.14,4.2,60,True,cup noodle,premium,synthetic_anonymized
P0007,Indonesia,Tokopedia,Korean ramen,Local Brand,Local Brand C,Kimchi Ramen - multi-pack,467,91915.0,IDR,5.93,1.27,4.4,43,True,multi-pack,premium,synthetic_anonymized
P0008,Indonesia,Tokopedia,Korean ramen,Local Brand,Local Brand X,Mild Ramen - single pack,171,41075.0,IDR,2.65,1.55,4.2,34,True,single pack,mainstream,synthetic_anonymized
P0009,Indonesia,Tokopedia,Kimchi,Premium Import Brand,Premium Import Brand N,Original Kimchi - jar,355,129425.0,IDR,8.35,2.35,4.3,151,True,jar,premium,synthetic_anonymized
P0010,Indonesia,Tokopedia,Kimchi,Local Brand,Local Brand M,Fresh Kimchi - pouch,921,78585.0,IDR,5.07,0.55,4.5,105,True,pouch,mainstream,synthetic_anonymized
P0011,Indonesia,Tokopedia,Kimchi,Japanese Brand,Japanese Brand V,Fresh Kimchi - jar,876,122915.0,IDR,7.93,0.91,4.3,394,False,jar,mainstream,synthetic_anonymized
P0012,Indonesia,Shopee ID,Kimchi,Korean Brand,Korean Brand Y,Fresh Kimchi - fresh pack,366,91295.0,IDR,5.89,1.61,3.9,101,False,fresh pack,mainstream,synthetic_anonymized
P0013,Indonesia,Tokopedia,Kimchi,Private Label,Private Label B,Original Kimchi - jar,214,74245.0,IDR,4.79,2.24,4.1,23,True,jar,premium,synthetic_anonymized
P0014,Indonesia,Tokopedia,Kimchi,Korean Brand,Korean Brand Y,Original Kimchi - fresh pack,648,132060.0,IDR,8.52,1.31,3.7,41,False,fresh pack,value,synthetic_anonymized
P0015,Indonesia,Shopee ID,Kimchi,Japanese Brand,Japanese Brand Q,Fresh Kimchi - fresh pack,989,113460.0,IDR,7.32,0.74,4.2,45,False,fresh pack,mainstream,synthetic_anonymized
P0016,Indonesia,Tokopedia,Kimchi,Korean Brand,Korean Brand J,Mild Kimchi - fresh pack,954,150350.0,IDR,9.7,1.02,4.5,117,True,fresh pack,mainstream,synthetic_anonymized
P0017,Indonesia,Tokopedia,Gochujang sauce,Korean Brand,Korean Brand S,Korean Chili Sauce - tube,812,214985.0,IDR,13.87,1.71,4.2,83,True,tube,premium,synthetic_anonymized
P0018,Indonesia,Shopee ID,Gochujang sauce,Japanese Brand,Japanese Brand W,Gochujang Sauce - tube,994,129115.0,IDR,8.33,0.84,4.5,35,True,tube,premium,synthetic_anonymized
P0019,Indonesia,Tokopedia,Gochujang sauce,Local Brand,Local Brand Q,Sweet Spicy Sauce - squeeze bottle,295,115630.0,IDR,7.46,2.53,4.4,35,False,squeeze bottle,mainstream,synthetic_anonymized
P0020,Indonesia,Tokopedia,Gochujang sauce,Premium Import Brand,Premium Import Brand X,Sweet Spicy Sauce - tube,740,79360.0,IDR,5.12,0.69,4.2,29,False,tube,premium,synthetic_anonymized
P0021,Indonesia,Shopee ID,Gochujang sauce,Japanese Brand,Japanese Brand W,Korean Chili Sauce - jar,756,74090.0,IDR,4.78,0.63,4.2,38,True,jar,mainstream,synthetic_anonymized
P0022,Indonesia,Shopee ID,Gochujang sauce,Korean Brand,Korean Brand Z,Sweet Spicy Sauce - tube,539,116715.0,IDR,7.53,1.4,3.7,40,True,tube,value,synthetic_anonymized
P0023,Indonesia,Tokopedia,Gochujang sauce,Premium Import Brand,Premium Import Brand D,Sweet Spicy Sauce - squeeze bottle,832,191735.0,IDR,12.37,1.49,4.5,37,True,squeeze bottle,premium,synthetic_anonymized
P0024,Indonesia,Tokopedia,Gochujang sauce,Private Label,Private Label E,Korean Chili Sauce - tube,876,115320.0,IDR,7.44,0.85,3.9,43,True,tube,mainstream,synthetic_anonymized
P0025,Indonesia,Shopee ID,Frozen mandu,Local Brand,Local Brand A,Vegetable Mandu - value pack,971,203825.0,IDR,13.15,1.35,4.5,42,False,value pack,premium,synthetic_anonymized
P0026,Indonesia,Tokopedia,Frozen mandu,Korean Brand,Korean Brand H,Pork Mandu - family pack,809,243815.0,IDR,15.73,1.94,4.3,41,True,family pack,premium,synthetic_anonymized
P0027,Indonesia,Shopee ID,Frozen mandu,Private Label,Private Label Z,Kimchi Mandu - frozen bag,684,119815.0,IDR,7.73,1.13,4.5,44,True,frozen bag,premium,synthetic_anonymized
P0028,Indonesia,Shopee ID,Frozen mandu,Premium Import Brand,Premium Import Brand E,Kimchi Mandu - frozen bag,1135,74555.0,IDR,4.81,0.42,3.8,49,False,frozen bag,mainstream,synthetic_anonymized
P0029,Indonesia,Shopee ID,Frozen mandu,Korean Brand,Korean Brand G,Chicken Mandu - family pack,1136,224595.0,IDR,14.49,1.28,4.2,47,False,family pack,premium,synthetic_anonymized
P0030,Indonesia,Tokopedia,Frozen mandu,Korean Brand,Korean Brand Q,Kimchi Mandu - family pack,423,140740.0,IDR,9.08,2.15,4.5,132,True,family pack,mainstream,synthetic_anonymized
P0031,Indonesia,Shopee ID,Frozen mandu,Korean Brand,Korean Brand U,Chicken Mandu - frozen bag,702,157015.0,IDR,10.13,1.44,3.7,42,False,frozen bag,value,synthetic_anonymized
P0032,Indonesia,Shopee ID,Frozen mandu,Korean Brand,Korean Brand H,Pork Mandu - frozen bag,939,142290.0,IDR,9.18,0.98,4.4,207,False,frozen bag,mainstream,synthetic_anonymized
